sign 	 ID 	 mC1 	 mN1 	 crossSection 	 filtEff 
C1mN2	395732	200	195	0.0053373982368	1.1342E-01
C1mN2	395731	200	197	0.0053373982368	4.0705E-02
C1mN2	395724	175	170	0.00848725892976	1.0843E-01
C1mN2	395723	175	172	0.00848725892976	4.0596E-02
C1mN2	395712	150	145	0.0143635659226	1.0898E-01
C1mN2	395711	150	147	0.0143635659226	4.2521E-02
C1mN2	395703	125	120	0.0265547112768	1.0930E-01
C1mN2	395702	125	122	0.0265547112768	4.3508E-02
C1mN2	395690	110	105	0.0416262187644	1.0520E-01
C1mN2	395689	110	107	0.0416262187644	4.4886E-02
C1mN2	395681	100	95	0.0565278915584	1.0419E-01
C1mN2	395680	100	97	0.0565278915584	4.4489E-02
C1mN2	395678	90	85	0.0836022232888	1.0145E-01
C1mN2	395677	90	87	0.0836022232888	4.5662E-02
C1pN2	395646	200	195	0.0098034084512	1.1467E-01
C1pN2	395645	200	197	0.0098034084512	4.3367E-02
C1pN2	395638	175	170	0.0150921685258	1.1228E-01
C1pN2	395637	175	172	0.0150921685258	4.4083E-02
C1pN2	395626	150	145	0.0246581176378	1.1168E-01
C1pN2	395625	150	147	0.0246581176378	4.6673E-02
C1pN2	395617	125	120	0.0438896138818	1.0771E-01
C1pN2	395616	125	122	0.0438896138818	4.6278E-02
C1pN2	395604	110	105	0.0659816525538	1.0689E-01
C1pN2	395603	110	107	0.0659816525538	4.7828E-02
C1pN2	395595	100	95	0.089602274448	1.0284E-01
C1pN2	395594	100	97	0.089602274448	4.7819E-02
C1pN2	395592	90	85	0.127847809922	1.0183E-01
C1pN2	395591	90	87	0.127847809922	4.7278E-02
