sign 	 ID 	 mC1 	 mN1 	 xsec 	 filtEff 	 xsec_relUnc 
C1pN2	394089	125p0	110p0	0.0002045473000	   0.242090000	0.0355890000000
C1mN2	398281	250p0	160p0	0.0000086780830	   0.472590000	0.0796452500000
C1mN2	394106	100p0	80p0	0.0002867911000	   0.296680000	0.0590480000000
C1pN2	394928	100p0	10p0	0.0004545921000	   0.367090000	0.0349460000000
C1pN2	394087	125p0	115p0	0.0002045473000	   0.152190000	0.0355890000000
C1pN2	394093	125p0	85p0	0.0002045473000	   0.358430000	0.0355890000000
C1mN2	394971	400p0	340p0	0.0000012144180	   0.480500000	0.0963930000000
C1pN2	398282	200p0	108p0	0.0000382862300	   0.439710000	0.0468530100000
C1mN2	394957	250p0	210p0	0.0000086780830	   0.435530000	0.0796450000000
C1pN2	394970	400p0	340p0	0.0000027450980	   0.475410000	0.0721470000000
C1mN2	394905	100p0	30p0	0.0002867911000	   0.389740000	0.0590480000000
C1mN2	394909	125p0	55p0	0.0001237581000	   0.411010000	0.0622370000000
C1pN2	394101	140p0	100p0	0.0001367283000	   0.373010000	0.0372960000000
C1mN2	394939	200p0	110p0	0.0000208446700	   0.458640000	0.0729930000000
C1pN2	394113	150p0	110p0	0.0001071069000	   0.379280000	0.0388460000000
C1pN2	394079	110p0	100p0	0.0003229436000	   0.146930000	0.0348160000000
C1mN2	398287	300p0	208p0	0.0000041427290	   0.488750000	0.0854572900000
C1pN2	398276	250p0	220p0	0.0000169226500	   0.394550000	0.0534650900000
C1mN2	398293	300p0	205p0	0.0000041427290	   0.487510000	0.0854572900000
C1mN2	394935	140p0	50p0	0.0000808333800	   0.432110000	0.0645280000000
C1pN2	394932	125p0	35p0	0.0002045473000	   0.390560000	0.0355890000000
C1mN2	394951	300p0	280p0	0.0000041427290	   0.350840000	0.0854570000000
C1pN2	398292	300p0	205p0	0.0000085165960	   0.474890000	0.0597428500000
C1pN2	394912	150p0	80p0	0.0001071069000	   0.403230000	0.0388460000000
C1mN2	394961	350p0	310p0	0.0000021701140	   0.449470000	0.0916340000000
C1pN2	398290	250p0	155p0	0.0000169226500	   0.459810000	0.0534650900000
C1pN2	394095	140p0	130p0	0.0001367283000	   0.157270000	0.0372960000000
C1mN2	394913	150p0	80p0	0.0000623907200	   0.426870000	0.0661720000000
C1mN2	394086	110p0	70p0	0.0002002429000	   0.374910000	0.0602180000000
C1pN2	394892	100p0	40p0	0.0004545921000	   0.354620000	0.0349460000000
C1pN2	394091	125p0	100p0	0.0002045473000	   0.318810000	0.0355890000000
C1pN2	394081	110p0	95p0	0.0003229436000	   0.235180000	0.0348160000000
C1pN2	394930	110p0	20p0	0.0003229436000	   0.378740000	0.0348160000000
C1mN2	394090	125p0	110p0	0.0001237581000	   0.254750000	0.0622370000000
C1mN2	398283	200p0	108p0	0.0000208446700	   0.457970000	0.0729927500000
C1mN2	394082	110p0	95p0	0.0002002429000	   0.248160000	0.0602180000000
C1mN2	394981	200p0	190p0	0.0000208446700	   0.168560000	0.0729930000000
C1mN2	394975	300p0	220p0	0.0000041427290	   0.483470000	0.0854570000000
C1mN2	398291	250p0	155p0	0.0000086780830	   0.476710000	0.0796452500000
C1mN2	394937	150p0	60p0	0.0000623907200	   0.436570000	0.0661720000000
